Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.74      0.32     0.32 34846122     0.00     0.00  attackProb(int, int, double (&) [1024][2])
 12.02      0.60     0.28 87115305     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  9.87      0.83     0.23   108908     0.00     0.02  calculateInteractions(std::vector<double, std::allocator<double> > (&) [1][4], double (&) [1024][2], int, int, int, std::vector<double, std::allocator<double> > (&) [1][3], int)
  9.87      1.06     0.23      100     2.30     5.23  storeReproduction(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > (&) [1][4], int, double (&) [1024][2])
  9.66      1.29     0.23 52369996     0.00     0.00  arrhenius(double)
  9.01      1.50     0.21 34946935     0.00     0.00  searchRate(int, int, double, double (&) [1024][2])
  9.01      1.71     0.21 87216118     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::exp<int>(int)
  7.30      1.88     0.17 17423061     0.00     0.00  consumptionRate(int, int, double, double (&) [1024][2], int)
  5.15      2.00     0.12 17423061     0.00     0.00  handlingTime(int, int, double, double (&) [1024][2])
  4.72      2.11     0.11 138272510     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  3.86      2.20     0.09 159681027     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.50      2.23     0.04   109008     0.00     0.00  getCellMass(int, std::vector<double, std::allocator<double> > (&) [1][4])
  1.29      2.26     0.03      100     0.30     0.33  storecellPopInd(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > (&) [1][4], int)
  0.43      2.27     0.01  1721861     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.43      2.28     0.01   810856     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.43      2.29     0.01   809524     0.00     0.00  uniform(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.43      2.30     0.01   809524     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.43      2.31     0.01   100000     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.43      2.32     0.01    20999     0.00     0.00  addInd(std::vector<double, std::allocator<double> > (&) [1][4], int, int, double (&) [1024][2], std::vector<double, std::allocator<double> > (&) [1][3])
  0.43      2.33     0.01        7     1.43     1.43  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.33     0.00  1621712     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      2.33     0.00  1619048     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      2.33     0.00   810856     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      2.33     0.00   810548     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   809524     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      2.33     0.00   809524     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      2.33     0.00   809524     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   809524     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      2.33     0.00   449730     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.33     0.00   449346     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      2.33     0.00   317816     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      2.33     0.00   200298     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      2.33     0.00   200000     0.00     0.00  randomIndex(std::vector<double, std::allocator<double> > (&) [1][4], int, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   129213     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      2.33     0.00   126878     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      2.33     0.00   102430     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.33     0.00   100443     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.33     0.00   100401     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.33     0.00   100401     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      2.33     0.00   100401     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      2.33     0.00   100149     0.00     0.00  chooseInRange(int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      2.33     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      2.33     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      2.33     0.00   100149     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100149     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      2.33     0.00   100026     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.33     0.00   100005     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      2.33     0.00   100005     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      2.33     0.00   100005     0.00     0.00  std::allocator<int>::allocator()
  0.00      2.33     0.00   100005     0.00     0.00  std::allocator<int>::~allocator()
  0.00      2.33     0.00   100005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      2.33     0.00   100005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      2.33     0.00   100005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.33     0.00   100005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      2.33     0.00   100005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      2.33     0.00   100005     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      2.33     0.00   100004     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      2.33     0.00   100000     0.00     0.00  immigration(std::vector<double, std::allocator<double> > (&) [1][4], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100000     0.00     0.02  reproduction(std::vector<double, std::allocator<double> > (&) [1][4], int (&) [1][2], double (&) [1024][2], int, int, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100000     0.00     0.00  kill(std::vector<double, std::allocator<double> > (&) [1][4], double, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100000     0.00     0.00  shuffle(int*, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00   100000     0.00     0.00  dispersal(std::vector<double, std::allocator<double> > (&) [1][4], double (&) [1][1], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00    84315     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      2.33     0.00    53466     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      2.33     0.00    42276     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.00      2.33     0.00    42276     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double>(std::allocator<double>&, double*, double&&)
  0.00      2.33     0.00    42276     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      2.33     0.00    42276     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.00      2.33     0.00    42276     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      2.33     0.00    42137     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      2.33     0.00    42137     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      2.33     0.00    42137     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      2.33     0.00    25211     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      2.33     0.00    20850     0.00     0.00  ConvertToDec(int (&) [10])
  0.00      2.33     0.00    20850     0.00     0.00  Bin_recursive(int, int, int (&) [10])
  0.00      2.33     0.00    20850     0.00     0.00  ConvertToBinary(int, int, int (&) [10])
  0.00      2.33     0.00    20850     0.00     0.00  mutation(std::vector<double, std::allocator<double> > (&) [1][4], double, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.33     0.00    19831     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      2.33     0.00    17816     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      2.33     0.00    17816     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      2.33     0.00    17816     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      2.33     0.00    17816     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      2.33     0.00    13905     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
