Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 24.06      2.28     2.28   109008     0.02     0.03  getCellMass(int, std::vector<double, std::allocator<double> > (&) [1][4])
 23.11      4.47     2.19   200000     0.01     0.01  randomIndex(std::vector<double, std::allocator<double> > (&) [1][4], int, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
 16.09      6.00     1.53 2272721700     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  9.44      6.89     0.90 1356946851     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  4.11      7.28     0.39 34846122     0.00     0.00  attackProb(int, int, double (&) [1024][2])
  3.38      7.60     0.32      100     3.20     4.44  calculateTotalPopSpec(std::vector<double, std::allocator<double> > (&) [1][4], std::vector<int, std::allocator<int> > (&) [2])
  2.85      7.87     0.27 87115305     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  2.64      8.12     0.25      100     2.50     8.57  storeReproduction(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > (&) [1][4], int, double (&) [1024][2])
  2.43      8.35     0.23 87216118     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::exp<int>(int)
  2.22      8.56     0.21 34946935     0.00     0.00  searchRate(int, int, double, double (&) [1024][2])
  2.11      8.76     0.20   108908     0.00     0.02  calculateInteractions(std::vector<double, std::allocator<double> > (&) [1][4], double (&) [1024][2], int, int, int, std::vector<int, std::allocator<int> > (&) [1][2], int)
  1.90      8.94     0.18 52369996     0.00     0.00  arrhenius(double)
  1.69      9.10     0.16 17423061     0.00     0.00  consumptionRate(int, int, double, double (&) [1024][2], int)
  1.58      9.25     0.15     8095     0.02     0.03  getSpeciesCellMass(int, int, std::vector<double, std::allocator<double> > (*) [4])
  0.74      9.32     0.07 17423061     0.00     0.00  handlingTime(int, int, double, double (&) [1024][2])
  0.63      9.38     0.06 99858731     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.42      9.42     0.04 117348652     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.32      9.45     0.03  1721861     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.11      9.46     0.01   100000     0.00     0.07  reproduction(std::vector<double, std::allocator<double> > (&) [1][4], int (&) [1][2], double (&) [1024][2], int, int, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.11      9.47     0.01   100000     0.00     0.00  shuffle(int*, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.11      9.48     0.01        7     1.43     1.43  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
